cue_id,language,source_file,sha256,start_frame,start_frame_domain_id,start_semantics,duration_ms,format,channels,sample_rate_hz,source_character_id,notes
catalog-audio-001,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/SA/L3IN09.mp3,1d2370d59a6400dbd666a3f049fd4222a54d664e62055a1fb5f93596b9a2ea4b,,,catalog association only; runtime cue is unresolved,40344,mp3,1,48000,,"association=matching-basename; ffprobe/ffmpeg technical probe passed; normalized-language candidate=es; spoken language, cue, synchronization, listening quality, and acceptance are not established."
embedded-audio-001,und,artifacts/g4-l3-embedded-audio/sha256/f8/f8f48409ed9b3a3abf31ce5b50f4fae9911746e90401218deed93b68cdef09a5.mp3,f8f48409ed9b3a3abf31ce5b50f4fae9911746e90401218deed93b68cdef09a5,1,sprite-200,static SoundStreamHead frame in owner domain; runtime reachability unresolved,48672,mp3,1,22050,,"unitReferenceId=course-g04-l03-in-009/sound-stream-1/source-order-1; source SWF=source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf; sourceFormat=mp3; probeStatus=ffprobe-parsed-ffmpeg-decode-check-passed; payload is an exact machine archive; language, cue, synchronization, listening quality, and acceptance are not established."
