asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00026,14,Arial,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,92f128a7ec4e335ff766de01b4c60e85956146800405ae3c70a239435d0b2adb,DefineFont2,,9,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=26; payloadBytes=830; rawTagPayloadSha256=92f128a7ec4e335ff766de01b4c60e85956146800405ae3c70a239435d0b2adb; exactTagIdentitySha256=637b5318d1a1ae77647829f851d269fac27e9ae2974a5bb6d66d7fda4ca74ee0; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00027,15,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,6c554de1353ea99e30d045d35361e80761342884f34d3336132ead24062563a1,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=27; payloadBytes=25; rawTagPayloadSha256=6c554de1353ea99e30d045d35361e80761342884f34d3336132ead24062563a1; exactTagIdentitySha256=8717c3c13fe411c22126166eb58c353dc6c2c93e4410edde09e24f56b8443cf2; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00028,16,arial,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,fc2db4e052caaa02d430dd61b9e45b69a1ffc686b114576215110c4165eb3489,DefineFont2,,1,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=28; payloadBytes=34; rawTagPayloadSha256=fc2db4e052caaa02d430dd61b9e45b69a1ffc686b114576215110c4165eb3489; exactTagIdentitySha256=f121a0a56374f3ae7f091d927a70481f558fe2b89bdd7aeae0c5f959a16b6bda; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00029,17,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,dd4fe7fc47fd37e513451d347f63b91ae93d745ce16e8a9a0bf1aca84c33f78e,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=29; payloadBytes=25; rawTagPayloadSha256=dd4fe7fc47fd37e513451d347f63b91ae93d745ce16e8a9a0bf1aca84c33f78e; exactTagIdentitySha256=5db53e2d1ea9ba6757913160483626267f62469930a7810deac0e87606826b44; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00030,18,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,990216ced6bf04a3e60764a2b5ed94874f3c8bab979f282fb994bc2b2624d30a,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=30; payloadBytes=25; rawTagPayloadSha256=990216ced6bf04a3e60764a2b5ed94874f3c8bab979f282fb994bc2b2624d30a; exactTagIdentitySha256=e17352eaa51dcf4b3ee6ded9e64cad2bfaf2e10468a4987450ac26d0290d27dd; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00031,19,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,db4338bf70bd2938e1673e6c727af5c60fde20ee622e9a4e1f04b88339849209,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=31; payloadBytes=25; rawTagPayloadSha256=db4338bf70bd2938e1673e6c727af5c60fde20ee622e9a4e1f04b88339849209; exactTagIdentitySha256=be4adf4c215b8931df488238b35d88924452a636954acb28689dfea74860d82a; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00032,20,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,d8faad11ce7d0c7922991dc47739004a61ffe16af416295e14f3f196b8d5f50a,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=32; payloadBytes=25; rawTagPayloadSha256=d8faad11ce7d0c7922991dc47739004a61ffe16af416295e14f3f196b8d5f50a; exactTagIdentitySha256=62283b2e67dd8f2ebb282a6b8e1f513d808f7cf59923ad08c910b3895a598f23; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00033,21,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,9ee58026d0b5e17e776712b5f64bf881e7c397ce29f7aa03325e37bee1d397f8,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=33; payloadBytes=25; rawTagPayloadSha256=9ee58026d0b5e17e776712b5f64bf881e7c397ce29f7aa03325e37bee1d397f8; exactTagIdentitySha256=7ace82085e6bbd7f410502926739e41e20c963657a7e1b8e0e12cdc5c8ba646b; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00034,22,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,63fb9ee269ebab2aba792550eda0f1aa8618eb1ab164854f49d68e3d47f404e3,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=34; payloadBytes=25; rawTagPayloadSha256=63fb9ee269ebab2aba792550eda0f1aa8618eb1ab164854f49d68e3d47f404e3; exactTagIdentitySha256=79a22a8b56b2dddf255e982079408c74da08446343f996a650c02fe27a838a82; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00035,23,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,1935d586095476981fbb48e2d63276204136e0f3482c318d30410d97e588a55c,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=35; payloadBytes=25; rawTagPayloadSha256=1935d586095476981fbb48e2d63276204136e0f3482c318d30410d97e588a55c; exactTagIdentitySha256=1258f328ae9f9090cc53422490336850d172a2fff31103f1df80dfad804a1605; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00036,24,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,affaf0df1b53e9a67cfec10414c7a10e1479212975ef73a1fea4835c36119218,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=36; payloadBytes=25; rawTagPayloadSha256=affaf0df1b53e9a67cfec10414c7a10e1479212975ef73a1fea4835c36119218; exactTagIdentitySha256=cb479462b441947fdec3adcee0d8b6afa47a1c86f0f0aa5fcdf631818bde4695; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00037,25,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,10675c5d97146615f2cee7679c7dbf9a2a9f9d78b0da0ab2edd312db2da687e1,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=37; payloadBytes=30; rawTagPayloadSha256=10675c5d97146615f2cee7679c7dbf9a2a9f9d78b0da0ab2edd312db2da687e1; exactTagIdentitySha256=30e42825a48f2a34bd8f76224a20af58b609210957360428aa7dd2a3d54134bc; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00038,26,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,d551f832f8a0021818123aeec56c073802d707eb5b7f625c81b92b9ffedd24f0,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=38; payloadBytes=30; rawTagPayloadSha256=d551f832f8a0021818123aeec56c073802d707eb5b7f625c81b92b9ffedd24f0; exactTagIdentitySha256=ad4f0a72b8d69ed6e0cce90d2fefd6d65c897cb52077627a378b77f7c25d58fc; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00039,27,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,114126f49a7e32b55e1fa03558590bf010c3ac23b666fbfed632686f6018e23d,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=39; payloadBytes=30; rawTagPayloadSha256=114126f49a7e32b55e1fa03558590bf010c3ac23b666fbfed632686f6018e23d; exactTagIdentitySha256=0875637e833e1784a1a29eaf25b4dfca4a5b7d21a169b4563e92cf321a47fb7a; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00040,28,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,0601ecd81c61341aa617b17a99c09316be495ff9c30da8d0e041899403501c4b,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=40; payloadBytes=30; rawTagPayloadSha256=0601ecd81c61341aa617b17a99c09316be495ff9c30da8d0e041899403501c4b; exactTagIdentitySha256=916523548950cc6ccc0a0a2add94d45fa9e93925f3590c1c75ff28a8708c51bc; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00041,29,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,b8c345318b184aab3e03970483e3806d7ed5e6308241858231462fc9419257e3,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=41; payloadBytes=30; rawTagPayloadSha256=b8c345318b184aab3e03970483e3806d7ed5e6308241858231462fc9419257e3; exactTagIdentitySha256=3a3b2a22ffc3a9a949fdca235be648cc3aa2334207991645a0c8cf9d9cf2b5c1; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00042,30,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,1dc11d7c1f0eaf8cb0324fb51a3441b114433dda7bc6bc1a9d9ada5d19a3a474,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=42; payloadBytes=30; rawTagPayloadSha256=1dc11d7c1f0eaf8cb0324fb51a3441b114433dda7bc6bc1a9d9ada5d19a3a474; exactTagIdentitySha256=f61ef79ede643dc50a8133b9a057d7e1e3f7406adbeddb82a0c8fd8e6d93dd39; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00043,31,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,208b7d42cb98e467de99bdd29f9a662b80a2cff7f03f7083cff731dc2187a75d,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=43; payloadBytes=30; rawTagPayloadSha256=208b7d42cb98e467de99bdd29f9a662b80a2cff7f03f7083cff731dc2187a75d; exactTagIdentitySha256=8c1cf91b86b4a0fb83ba4c43444da900c951c710010c97dc64bd33cb20853b98; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00044,32,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,578f53c1ecd50d8fedc1010a2718bb2af77e9b066ac0c7219d7ac66c50202c3f,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=44; payloadBytes=30; rawTagPayloadSha256=578f53c1ecd50d8fedc1010a2718bb2af77e9b066ac0c7219d7ac66c50202c3f; exactTagIdentitySha256=f9089db1c87371e117f82443578e4692775a0af714ff4b354467f70ff1fec576; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00045,33,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,6af9047650c7c2cd9854d21dc9afbe5a8776749951e80843c1a198189c79a42f,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=45; payloadBytes=107; rawTagPayloadSha256=6af9047650c7c2cd9854d21dc9afbe5a8776749951e80843c1a198189c79a42f; exactTagIdentitySha256=a42bb28b0bee3d3ef53529268a607e0f023778f67fd535009c58b1b7deffc6be; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00046,34,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,afb37cac2ad8412d4ce107e3dc910d305be3a037b844e86c2775340868189071,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=46; payloadBytes=34; rawTagPayloadSha256=afb37cac2ad8412d4ce107e3dc910d305be3a037b844e86c2775340868189071; exactTagIdentitySha256=d6b04fd73bb2719d185f04707cd774c8a0b7bbf6e069203e27e10512c065b9e8; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00047,35,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,6209d7ac3a2e0f1932761e1233b46ac563e4f96e23263d60716eac536cde26a0,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=47; payloadBytes=78; rawTagPayloadSha256=6209d7ac3a2e0f1932761e1233b46ac563e4f96e23263d60716eac536cde26a0; exactTagIdentitySha256=83d3768611c99d21e93b9ac5a757d80795397823586f53b26cec7def303a59d2; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00048,36,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,bff5bdd192761d5fc425ac94ac0dae2e4470285fe1f5639ed83652a8e8da7f61,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=48; payloadBytes=34; rawTagPayloadSha256=bff5bdd192761d5fc425ac94ac0dae2e4470285fe1f5639ed83652a8e8da7f61; exactTagIdentitySha256=b5bd20d8f393e92741a5665408c517849a87bf581108db15deac287463b540ab; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00049,37,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB08.swf,,,05a538f7d4e3271be6ce807a559f8a4a209c310912239d425ff7be0c0e1e3136,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=49; payloadBytes=82; rawTagPayloadSha256=05a538f7d4e3271be6ce807a559f8a4a209c310912239d425ff7be0c0e1e3136; exactTagIdentitySha256=5a39ada8a488cc83a9fbf6d28eadb355388b569c6ca14809ac7a31948fb39818; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
