asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00011,1,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW04.swf,,,4d3de5ca8c63eed388ad9c5b90b29e14fb5afb087fd79fd96f30e25d6b9017cd,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=35; exactTagIdentitySha256=8e6d1afad91634117558442f1592b2cc08d60631dc885de93515b1ad06f4cd97; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00012,2,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW04.swf,,,e944cae412bede1becd37451a1b9ce28e921fc5c1050813e1b9a8c2a00860e9b,DefineBitsJPEG3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=12; payloadBytes=66551; exactTagIdentitySha256=ecfecb4305e5461b374849497a7690c5980fa83e001341c39083292cd5502107; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00013,3,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW04.swf,,,a71181c730fba12d35423420ed41e141fd0db93708710ea78a930a6ee00a7e34,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=13; payloadBytes=128; exactTagIdentitySha256=52fcec1c2062177baaf0516299292dc428768e243d99ecb5cd807e08d0e8d570; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00014,4,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW04.swf,,,a144f98df0f9bfd48d229cd0dc5b10dff55135c02abdece04ec1d312312a7b33,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=14; payloadBytes=71; exactTagIdentitySha256=513c36f5b37ac6107b7255c5e9d195de995303dfb4458db9283b0c0aa3d58a60; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00015,5,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW04.swf,,,a1e312d0c4256140719b6df453e9cd1f20cbf5e5e33d4664ad0f99d644353d0d,DefineBitsJPEG3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=15; payloadBytes=7368; exactTagIdentitySha256=cf9aef5c22aca00de14757057f4ec38be16ea8b1dec1a23889f6959aec686c63; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00016,6,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW04.swf,,,497518e66bf15346415b7f36dc764c0ac149f824cf2ac95b0cb6bbaa7c793851,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=16; payloadBytes=51; exactTagIdentitySha256=a8a618f348b40754d676e670ead736fd8c6927122af038f66904d839de703187; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00017,7,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW04.swf,,,214af2fd73698143893be44b8f24e946bbceedd4e399718d301b921518088923,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=17; payloadBytes=7291; exactTagIdentitySha256=aebbe53557d567510f0e9d43f956267c6fe29c0691c4a670bed5ebbdc9caae6a; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00018,8,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW04.swf,,,7cb3294256b166988c8253cbf46830a1c72918f0b9e3a9834d513759e62ca0b5,DefineBitsJPEG3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=18; payloadBytes=1890; exactTagIdentitySha256=90288cc0fd58fdbc0f05fc745cdd83a2069a99e9abc4af641ddc945685abc8da; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00019,9,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW04.swf,,,9143c9e30340d9e1cf53ceec15c77acebd9753de60a1927f5e972559d88ff843,DefineBitsJPEG3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=19; payloadBytes=13361; exactTagIdentitySha256=23e37e8ea8d63abdbc068f5396d2745568560dd64d7a153b4c25b5f4554bddb0; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00020,10,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW04.swf,,,d1dd467d8ab5204c3d6450b33c2197f706be37e7ac06135aa68203e503c0a4f4,DefineBitsJPEG3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=20; payloadBytes=11610; exactTagIdentitySha256=6d33f8e52600fc3857e9bd0d6a2acbb8f70f91d6894abf27e7be42e7511d8b0c; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
