asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00053,42,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,60880a02bd8a28c33c7800a183203247a55d7e08b00c7f3f3176e34d626d711d,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=53; payloadBytes=92; rawTagPayloadSha256=60880a02bd8a28c33c7800a183203247a55d7e08b00c7f3f3176e34d626d711d; exactTagIdentitySha256=282ca1bc1e7473d430879e00b4a8e36e70bcc688a9ae8febea8bb0a11534631f; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00054,43,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,35b20f9b5d981d22dec757a3726eeb218a2d63b5ac4a38fb6dafb77214750551,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=54; payloadBytes=25; rawTagPayloadSha256=35b20f9b5d981d22dec757a3726eeb218a2d63b5ac4a38fb6dafb77214750551; exactTagIdentitySha256=7061cd178b45efc79abdf2e0cf7a7a23bfc7556d59f3d7c674ecf9936e43e20a; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00055,44,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,1c9b658176bf7c32846a38e2295aececf6a88cba20282f1123d332843bcf03d9,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=55; payloadBytes=54; rawTagPayloadSha256=1c9b658176bf7c32846a38e2295aececf6a88cba20282f1123d332843bcf03d9; exactTagIdentitySha256=def8d36b10385693fe3a89b49387fab17d1e0f5e9eb71722a1b36f74d84666b9; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00056,45,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,65d00713c3942d95534fa464af24a031c15214f5506c27a4a0ba560ec79fff9c,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=56; payloadBytes=33; rawTagPayloadSha256=65d00713c3942d95534fa464af24a031c15214f5506c27a4a0ba560ec79fff9c; exactTagIdentitySha256=d99e3dc45fee496ad6bdee505798132abd5d8f6dd5eb809b85d046874a2f1a68; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00057,46,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,94c40eb9dd7c9e42cc8e9597536f665b3335bc5564343cb1595d1fb1eb696a15,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=57; payloadBytes=24; rawTagPayloadSha256=94c40eb9dd7c9e42cc8e9597536f665b3335bc5564343cb1595d1fb1eb696a15; exactTagIdentitySha256=e7d3e6c69429ed98ad642196aab79ccfaad56c782c0344600a71eba813b91211; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00058,47,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,76a9723eb0bb9d84d732d5e84bebc953ef7a0f5930ddd7f2e4b1f3477d5bb027,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=58; payloadBytes=26; rawTagPayloadSha256=76a9723eb0bb9d84d732d5e84bebc953ef7a0f5930ddd7f2e4b1f3477d5bb027; exactTagIdentitySha256=d481bc1bca2b97fcc75e9507b4a0f7b092f3983eea66f68ccd8243233808ab3c; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00059,48,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,954370401e6584bf3667d00d89d728d9ee613ff4c5afaa933fb7982c0f8a5b1e,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=59; payloadBytes=54; rawTagPayloadSha256=954370401e6584bf3667d00d89d728d9ee613ff4c5afaa933fb7982c0f8a5b1e; exactTagIdentitySha256=d94b6771d82fa61ac8eb0e786d5a855413f2689ae941623ca79ad000f62c21e9; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00060,49,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,1a0a134335ddb492a181c0b775bebcb71cd17857d6e8a93ed94df36be936a064,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=60; payloadBytes=26; rawTagPayloadSha256=1a0a134335ddb492a181c0b775bebcb71cd17857d6e8a93ed94df36be936a064; exactTagIdentitySha256=ef938fc5a2dff129c39c5c5a31326bcab0aa8e0bee2c05019b5327e270ba8dab; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00061,50,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,da8c4458f8c6fd8f490785425f85cb532a3eb0e9c561c5e66178c6feabb99ef2,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=61; payloadBytes=54; rawTagPayloadSha256=da8c4458f8c6fd8f490785425f85cb532a3eb0e9c561c5e66178c6feabb99ef2; exactTagIdentitySha256=5a25d7dcc83986ab042a5ebd9f710a1ad6ac6371b81e54c7b20f0f356284e5a1; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00062,51,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,637b480b822580ed74c56cc799ca5b5ef54386ce28e9808c3a0b7fe985fb367c,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=62; payloadBytes=27; rawTagPayloadSha256=637b480b822580ed74c56cc799ca5b5ef54386ce28e9808c3a0b7fe985fb367c; exactTagIdentitySha256=cceaf7dce8f8435c6ed8ec3fc6ade260d920a6e69c804fdcd6228a8f391fd0a3; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
