asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00036,25,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,ec8ff81e826ed0038239d1f4cb6b065e886a4f66db6a058976326e54b8fd6990,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=36; payloadBytes=178; rawTagPayloadSha256=ec8ff81e826ed0038239d1f4cb6b065e886a4f66db6a058976326e54b8fd6990; exactTagIdentitySha256=7fa13ad03c525851f494c09e082c6873f21fbafc6f7762f71093073be2464537; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00037,26,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,aa1dc8383d15be9e90f9fe89f63e512fe0373edf403caa708713b3b7b8b9f96d,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=37; payloadBytes=185; rawTagPayloadSha256=aa1dc8383d15be9e90f9fe89f63e512fe0373edf403caa708713b3b7b8b9f96d; exactTagIdentitySha256=15822dec8106c392331839d8449f9628098e5392d70162a0dd66007f790fe440; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00038,27,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,dd7e20794e0d2f95dcce34ac11689fe08d42c3fe526b9150c914adf76cca86db,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=38; payloadBytes=25; rawTagPayloadSha256=dd7e20794e0d2f95dcce34ac11689fe08d42c3fe526b9150c914adf76cca86db; exactTagIdentitySha256=8f757ccc265af211a20e652d2dba9f205935bc04d8a542e21e39bb2af7933c90; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00039,28,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,2ba5216358237ab20d808c4c52fa030ce3f1fd1313186fac756d525250b7d8a9,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=39; payloadBytes=25; rawTagPayloadSha256=2ba5216358237ab20d808c4c52fa030ce3f1fd1313186fac756d525250b7d8a9; exactTagIdentitySha256=3e6f2e06115ea1e7b4534c36ce508088e03f88b8371bda73d7dbcec0e84a27ef; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00040,29,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,4119a52c0a31026bbc6f95cb4f2bcce12fc0aa793efdb7f11c072a4914764066,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=40; payloadBytes=25; rawTagPayloadSha256=4119a52c0a31026bbc6f95cb4f2bcce12fc0aa793efdb7f11c072a4914764066; exactTagIdentitySha256=a456d452c4a911906c11540ff98646724f79647ab2b090e4786309ad1f3eb5c1; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00041,30,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,f2fce33333b64a4ed5638910bb2acc1e33c561344c5328dc37f9c722e4c92ed9,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=41; payloadBytes=25; rawTagPayloadSha256=f2fce33333b64a4ed5638910bb2acc1e33c561344c5328dc37f9c722e4c92ed9; exactTagIdentitySha256=eb32ddb5f32a8793afaf1cc19f20d9bd30ed0bc164678aa8d184e0dfc29967d0; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00042,31,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,99e5089b42af099dba795ca4e78588aabe8e9a28d1f6dc193f7ba5de94b619a7,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=42; payloadBytes=25; rawTagPayloadSha256=99e5089b42af099dba795ca4e78588aabe8e9a28d1f6dc193f7ba5de94b619a7; exactTagIdentitySha256=d0c8eea813f2a17f9df70174ca05735e2e97dccbb5c99f7e2009430463078cd0; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00043,32,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,5c3c0521c8936f42adb5afd89ba95f1d5bc66518e95b8904dbc1746a44393d9b,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=43; payloadBytes=25; rawTagPayloadSha256=5c3c0521c8936f42adb5afd89ba95f1d5bc66518e95b8904dbc1746a44393d9b; exactTagIdentitySha256=71d9c558ba06f637f3f3128be07b7168c447f12c978ced6cb06f649ff37052dd; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00044,33,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,2a752bb601d538debc7af4e3571110b26cb981f2aeba142548767a5d1ae2631e,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=44; payloadBytes=25; rawTagPayloadSha256=2a752bb601d538debc7af4e3571110b26cb981f2aeba142548767a5d1ae2631e; exactTagIdentitySha256=732fc10fdb64f3a45abbe7a3bd506e663d6d6523eba2865b3bb4bf506a373723; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00045,34,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,bbb6deda045c2c0feae7aedcc3ab1c217f824489409938fd726d4365ca15a091,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=45; payloadBytes=25; rawTagPayloadSha256=bbb6deda045c2c0feae7aedcc3ab1c217f824489409938fd726d4365ca15a091; exactTagIdentitySha256=a3ae516b694ab497969439d4196fffdc538b379e75f274a70363397cde7e4528; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
