asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00168,125,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,54d50752076cd85b4871e3d743023d8cb471ff245a1667763904152e203f03e3,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=168; payloadBytes=384; rawTagPayloadSha256=54d50752076cd85b4871e3d743023d8cb471ff245a1667763904152e203f03e3; exactTagIdentitySha256=b0c37ee77aba9363a0fe71a47bea55fc4575cdf679179b71cd783fe66bcdfc70; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00169,126,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,c5ca19da4f6f508f76b2d13d53faafcbace16c449365a14472239a5857909117,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=169; payloadBytes=2390; rawTagPayloadSha256=c5ca19da4f6f508f76b2d13d53faafcbace16c449365a14472239a5857909117; exactTagIdentitySha256=3e3d71dbc343687f23730a3b89188509d842798cf1019fc98c91da1f475045c1; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00170,127,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,121e1720e39b9a97caf4d47e0b5152ce1b7f450883100720faca6db0b65e722c,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=170; payloadBytes=1275; rawTagPayloadSha256=121e1720e39b9a97caf4d47e0b5152ce1b7f450883100720faca6db0b65e722c; exactTagIdentitySha256=6c51d4a1666e8d957a0bce38183e39c24a5ee5f897ff04ae674332415f1e4b65; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00171,128,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,80caad8cd003857c54e09327780f5924c5eb6870924a35aa13d55df458bc17f4,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=171; payloadBytes=896; rawTagPayloadSha256=80caad8cd003857c54e09327780f5924c5eb6870924a35aa13d55df458bc17f4; exactTagIdentitySha256=e8b706085a4d5fad10e6eff5ae1f99ad5708598ebe606c9c1d228b0dc708262e; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00172,129,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,b9e62d4110b7be14ea5f5cae019927fb3e04ee573ea39acc9dfdeaa9b1e76b3e,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=172; payloadBytes=1924; rawTagPayloadSha256=b9e62d4110b7be14ea5f5cae019927fb3e04ee573ea39acc9dfdeaa9b1e76b3e; exactTagIdentitySha256=55f25010a01b8cfe44985d9e2283f965548109a8df656c1f06b9ffbc10e8bf6b; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00173,130,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,6b1396bf520dbab3b5319d00e99d3da34074390951cde7996fee049a6d8e5cf9,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=173; payloadBytes=1352; rawTagPayloadSha256=6b1396bf520dbab3b5319d00e99d3da34074390951cde7996fee049a6d8e5cf9; exactTagIdentitySha256=0b28323e0adaa04a1e39efc9712704171e57801a6277c7aa747aabc5dee99a0e; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00174,131,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,751a204eae125e4cc7bb55d6ae17d7aeebcf1ec9e61ba59ad570f0ce20c1ebae,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=174; payloadBytes=556; rawTagPayloadSha256=751a204eae125e4cc7bb55d6ae17d7aeebcf1ec9e61ba59ad570f0ce20c1ebae; exactTagIdentitySha256=6c8fce3dc51dbf2b51dfe17cd638a97b097f41d637e5175f63f3d5223f7347ae; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00175,132,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,a8d73e7bc3bf013f3236c01d37cba8140067e4f0eff43836baaa91df6c1f97f8,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=175; payloadBytes=1528; rawTagPayloadSha256=a8d73e7bc3bf013f3236c01d37cba8140067e4f0eff43836baaa91df6c1f97f8; exactTagIdentitySha256=6af8f5b6e4ecad2469370f5ab5000f9d2883f478d2dca08efcc949580e7c2303; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00176,133,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,0ab40bf457d99e8ef3740dcd713a95b155cc683702458e5f8f42b6498a371eb9,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=176; payloadBytes=614; rawTagPayloadSha256=0ab40bf457d99e8ef3740dcd713a95b155cc683702458e5f8f42b6498a371eb9; exactTagIdentitySha256=448f80d5868c41218f2512a88bc26480e90084e359a93a2a4e80897adc9693a8; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00177,134,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,c01c75509347b327e208eaeec3d8fd37fb37012af3a3260e45cae736ef656939,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=177; payloadBytes=98; rawTagPayloadSha256=c01c75509347b327e208eaeec3d8fd37fb37012af3a3260e45cae736ef656939; exactTagIdentitySha256=a6e4a4c5bab614659c1d0a92d0b097ea8b4acf146bdbdbbe0aa4f31ca9fec2d4; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
