asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00050,39,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,511d3ccd49a059674091d4027a68985f07d9f3a16c0ed3421973a7d587a5acb2,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=50; payloadBytes=68; rawTagPayloadSha256=511d3ccd49a059674091d4027a68985f07d9f3a16c0ed3421973a7d587a5acb2; exactTagIdentitySha256=14818b845b17084df2b93d2f21ff24e34e18795e04e5a1d99adb4f5793bd9bab; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00051,40,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,d231deb307c9c485a59036a20d27e7bbb27f622b41a0f9d5e77586fb2ce65a31,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=51; payloadBytes=69; rawTagPayloadSha256=d231deb307c9c485a59036a20d27e7bbb27f622b41a0f9d5e77586fb2ce65a31; exactTagIdentitySha256=aa0c27cd60c76f7a5de2784afd64c89920fbfaee3a4e8aeb24caf0ca2f10d23d; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00052,41,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,b22774acded347dd18f20fd47243b77b7c080432322049c62cef9319dc55f589,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=52; payloadBytes=72; rawTagPayloadSha256=b22774acded347dd18f20fd47243b77b7c080432322049c62cef9319dc55f589; exactTagIdentitySha256=bcc83726987f9dcb27212fbc4d3a6be80d0d7996a8344acdc42e6e0a08fe33b6; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00053,42,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,da763769f5277f7de0a31dad7ba7da30013ba9888e10f152ce104988149467f7,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=53; payloadBytes=76; rawTagPayloadSha256=da763769f5277f7de0a31dad7ba7da30013ba9888e10f152ce104988149467f7; exactTagIdentitySha256=85d8b938df0c133b0b71c20bc12e98b58d10b42d2d8cd3217a256b4249e8720e; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00054,43,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,e03d7d52af1b2fc0effe0e56155937d887b51d486c67fcfd83016d141aa106a5,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=54; payloadBytes=76; rawTagPayloadSha256=e03d7d52af1b2fc0effe0e56155937d887b51d486c67fcfd83016d141aa106a5; exactTagIdentitySha256=adfe9da34ca112e32ced20bb741bfc6455eeda9e7c69e7ec82e58bbf52c49d8f; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00055,44,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,3db6f1d08280f1790865ab78bdd2f7e53e6ef0fce7335cb582cfdb4109e98beb,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=55; payloadBytes=76; rawTagPayloadSha256=3db6f1d08280f1790865ab78bdd2f7e53e6ef0fce7335cb582cfdb4109e98beb; exactTagIdentitySha256=706ac977552c36d20b302ebcccb069461f7eef57c5b3ce29333c4414657600e9; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00056,45,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,cc9601e4ebade2838e273d0900f5c9cffd379638e18991bb53fc227dc04e96c7,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=56; payloadBytes=76; rawTagPayloadSha256=cc9601e4ebade2838e273d0900f5c9cffd379638e18991bb53fc227dc04e96c7; exactTagIdentitySha256=38a8e7e32afa4730dbac4f857379276834e23449e16eb8401788bd12161cd7a6; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00057,46,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,10e10bbb752944e99fc5db3557c9018770fec533b0a47368f24879dffcccd6ef,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=57; payloadBytes=76; rawTagPayloadSha256=10e10bbb752944e99fc5db3557c9018770fec533b0a47368f24879dffcccd6ef; exactTagIdentitySha256=e4f3c4b608a28bf20dd145169526a6038fb274ed98a7a3f87a866fb66cd77222; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00058,47,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,b5dca34a38a82071345b2fe63d863ba8c9c5e84c8bb88b5570b04e2573f4d1a6,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=58; payloadBytes=76; rawTagPayloadSha256=b5dca34a38a82071345b2fe63d863ba8c9c5e84c8bb88b5570b04e2573f4d1a6; exactTagIdentitySha256=fb95fdc64875f50de259b90b10fc84465044c4cbbe5b7b1c2c8bbca706deb732; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00059,48,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,61cc0733d55603aa030e16093f39a0b4ab60fecbf591916cbb7eb549fcf1e85d,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=59; payloadBytes=76; rawTagPayloadSha256=61cc0733d55603aa030e16093f39a0b4ab60fecbf591916cbb7eb549fcf1e85d; exactTagIdentitySha256=f99f47ccd0b736e34315a0985aa87f05d9edab6d179f3ae9130c28ca1c38c6e4; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
