kind,path,bytes,sha256,status
source-swf,HELP_COURSES/ELMGR4/L9/VB/L9VB09.swf,169142,2c627c81bdbaf882558ef24e14d5f401113c55bd1897746ba2ada4687e0f4f66,canonical-read-only-source
candidate-canvas,apps/web/candidate-assets/flash-assets/2026-08-22-page-only-candidates-v1/courses/course-g04-l09-vb-009/canvas-renderer.js,,,generated-engineering-candidate
