asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-05463,361,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,c17fbcead6df52c2fe0880d0dcb88a370d11482e906b4e024f72346bbf486292,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=5463; payloadBytes=473; rawTagPayloadSha256=c17fbcead6df52c2fe0880d0dcb88a370d11482e906b4e024f72346bbf486292; exactTagIdentitySha256=a73ba866bd93e6aa21c87ade29b8b75fbeefaa8c690558a11869f76ae8d9fd1d; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-05464,362,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,c3e473ccb6c954aab59ee3c0108d3effc69fbd8bc6f32d59845227269533419a,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=5464; payloadBytes=565; rawTagPayloadSha256=c3e473ccb6c954aab59ee3c0108d3effc69fbd8bc6f32d59845227269533419a; exactTagIdentitySha256=40edcace4a94f44bd6316f7391cb20da0d1df93ce782e5b3f110d469dcd8481e; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-05465,363,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,efb106ad5c2b381f6ccc70e2f8455ec6fe9d16c070a17a64a28027bbf1a345a7,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=5465; payloadBytes=401; rawTagPayloadSha256=efb106ad5c2b381f6ccc70e2f8455ec6fe9d16c070a17a64a28027bbf1a345a7; exactTagIdentitySha256=1fc4be69c59cad5575ff7ec8489aa9b819d75d69957c001ea1e0532ee057232e; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-05466,364,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,95ee83dfea4bf74707dedd46472172ba528458450df5159463c804d97e0803bb,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=5466; payloadBytes=423; rawTagPayloadSha256=95ee83dfea4bf74707dedd46472172ba528458450df5159463c804d97e0803bb; exactTagIdentitySha256=be9f76e4f42ef791d73431125aea039780036a5a514e6f195a870962c8a82c9b; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-05467,365,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,5c38cc8de6295742a93d18ee005d0d9960371280f7bc2fb64b67ec9049cdf4a5,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=5467; payloadBytes=429; rawTagPayloadSha256=5c38cc8de6295742a93d18ee005d0d9960371280f7bc2fb64b67ec9049cdf4a5; exactTagIdentitySha256=53e50dcb40f43167b5c6b5f8c1c2e31b2c48abd6a97a1f83d89a107d21bfb585; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-05468,366,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,e6a13a6384efdd73ad1879024e80e298cf55585ca44eea1290bbf56150f2bb6e,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=5468; payloadBytes=408; rawTagPayloadSha256=e6a13a6384efdd73ad1879024e80e298cf55585ca44eea1290bbf56150f2bb6e; exactTagIdentitySha256=c16c553fb3a723b4d5dda28130141207c6502170eca9b71c82243dee6257f335; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-05469,367,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,95213b216994114acfc10b278bf34e14f0bbdd06b22e45c668683c31d27de366,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=5469; payloadBytes=410; rawTagPayloadSha256=95213b216994114acfc10b278bf34e14f0bbdd06b22e45c668683c31d27de366; exactTagIdentitySha256=dba24ad0a937c4e431a886b6a51cb6e18f5a191d625fa983633dcede45e58251; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-05470,368,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,31849521811557de401f54afed30fc8baa892af924ccc57a59604d7c70dde5c1,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=5470; payloadBytes=410; rawTagPayloadSha256=31849521811557de401f54afed30fc8baa892af924ccc57a59604d7c70dde5c1; exactTagIdentitySha256=7e7d49254a7531d0d7162263d7bff99652804d8f6789d318c99b6844c6ac192a; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-05471,369,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,7e208de12fae3d599479aaee9958e04eaf354af8e489b0990a950f9e31026f6f,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=5471; payloadBytes=408; rawTagPayloadSha256=7e208de12fae3d599479aaee9958e04eaf354af8e489b0990a950f9e31026f6f; exactTagIdentitySha256=a536093ce5cbbc1c64bfcbb5261837b77b960526d4803a3b0e2009bf606cffac; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-05472,370,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,9d361a85efbf13a51b24e37d1008e7a2279396c2029c133c28aa2347e1970879,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=5472; payloadBytes=408; rawTagPayloadSha256=9d361a85efbf13a51b24e37d1008e7a2279396c2029c133c28aa2347e1970879; exactTagIdentitySha256=71b2bab8dbdfe0621c205c359b113ccaf1e3b8ca5663e32043bd75472cd2f697; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-05473,371,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,9655069c5132885426ee9a6141a21f421edc9c3f0cb962927cb8140a4efc98fa,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=5473; payloadBytes=438; rawTagPayloadSha256=9655069c5132885426ee9a6141a21f421edc9c3f0cb962927cb8140a4efc98fa; exactTagIdentitySha256=15eb213d919dad23cd224563b452033786fa96f6defaf96e40c65b918b60f624; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-05474,372,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,59d3565898e0d259102b3297a9c109cd70ab87d9271fa2f5182656e48975680b,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=5474; payloadBytes=411; rawTagPayloadSha256=59d3565898e0d259102b3297a9c109cd70ab87d9271fa2f5182656e48975680b; exactTagIdentitySha256=4ec274823805221799da6002e12e271fdfbfc6829235898ec77181429d48e41f; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
