cue_id,language,source_file,sha256,start_frame,start_frame_domain_id,start_semantics,duration_ms,format,channels,sample_rate_hz,source_character_id,notes
catalog-audio-001,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/SA/L3TS02.mp3,148a963e1d0e87136cc65b36a73d97625170f53865842c6a12cda2a94c7df576,,,catalog association only; runtime cue is unresolved,20592,mp3,1,48000,,"association=matching-basename; ffprobe/ffmpeg technical probe passed; normalized-language candidate=es; spoken language, cue, synchronization, listening quality, and acceptance are not established."
embedded-audio-001,und,artifacts/g4-l3-embedded-audio/sha256/3f/3f47325f09641062c5437e8f0f87f57785f06269102cdb186efc03ed123bcde1.mp3,3f47325f09641062c5437e8f0f87f57785f06269102cdb186efc03ed123bcde1,1,sprite-27,static SoundStreamHead frame in owner domain; runtime reachability unresolved,29406,mp3,1,22050,,"unitReferenceId=course-g04-l03-ts-002/sound-stream-1/source-order-1; source SWF=source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/TS/L3TS02.swf; sourceFormat=mp3; probeStatus=ffprobe-parsed-ffmpeg-decode-check-passed; payload is an exact machine archive; language, cue, synchronization, listening quality, and acceptance are not established."
