asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00035,23,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,6d95ff8e5bbd60eafd8494ab6532f94b12a72cec66a4e430c40e4f424fa8bd9a,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=35; payloadBytes=25; rawTagPayloadSha256=6d95ff8e5bbd60eafd8494ab6532f94b12a72cec66a4e430c40e4f424fa8bd9a; exactTagIdentitySha256=6999f7484b46d3df70751dae35f6d11d12a3c1763d4dc34cc519f194b7fed8c7; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00036,24,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,f93fe75fd7382a63b0705c25edf1e93daadc949d2bb4d2c7faae97768dae12d5,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=36; payloadBytes=25; rawTagPayloadSha256=f93fe75fd7382a63b0705c25edf1e93daadc949d2bb4d2c7faae97768dae12d5; exactTagIdentitySha256=bab57e06df077e7be032eb39b9d9d398d84eafecc213ee4683ef40e641201c84; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00037,25,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,0e086b630e3563b4c60e8fec56a2513dbb5c9635f44fa73fd6346e85dabd5416,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=37; payloadBytes=25; rawTagPayloadSha256=0e086b630e3563b4c60e8fec56a2513dbb5c9635f44fa73fd6346e85dabd5416; exactTagIdentitySha256=c29614b817ee8b1a5d601d4ec0dfae1a3a03ac29b11d3469e2898d36ecde7548; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00038,26,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,36dbf7c235754b5e6eb2eda4317e269fe91d8ff453bbe70c7fff5c42de1da478,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=38; payloadBytes=25; rawTagPayloadSha256=36dbf7c235754b5e6eb2eda4317e269fe91d8ff453bbe70c7fff5c42de1da478; exactTagIdentitySha256=55cf255be9447bcd9ab37f0537cd035d54af7193d5ca67af380ccd9ff04336b9; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00039,27,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,225e3bb23c63a055aba4bb6edfafa56cc2901895968e4ff163c34cd9ec9a43ef,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=39; payloadBytes=25; rawTagPayloadSha256=225e3bb23c63a055aba4bb6edfafa56cc2901895968e4ff163c34cd9ec9a43ef; exactTagIdentitySha256=5bb24ca6a5c434e679b3ce7c3d95b79698a00e571b08855920468dc1de2812b5; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00040,28,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,1565dee98366734e526a40e44db926a3fca64ecb383cb875fd0d4b38b8926ccf,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=40; payloadBytes=25; rawTagPayloadSha256=1565dee98366734e526a40e44db926a3fca64ecb383cb875fd0d4b38b8926ccf; exactTagIdentitySha256=28a48d96ccb996bc3283f89d3d5025ec2d63fc51f36e8b0a7f5177a557be685a; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00041,29,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,a02646ec638ed414f2f538cf0ead16bf0864385f3c438eb7a848f41ebc8757b9,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=41; payloadBytes=25; rawTagPayloadSha256=a02646ec638ed414f2f538cf0ead16bf0864385f3c438eb7a848f41ebc8757b9; exactTagIdentitySha256=14a019eba6757cb34a6876b34cd5dc4987292052413fcb275d24bc2f64b8dd50; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00042,30,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,01761f5fc3cc97ad4ba92a7d7b0a64a7980a98b191eaa10533dabedb5c266659,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=42; payloadBytes=25; rawTagPayloadSha256=01761f5fc3cc97ad4ba92a7d7b0a64a7980a98b191eaa10533dabedb5c266659; exactTagIdentitySha256=6b8736f854c23031c44e245e8b419ee78321f82ff48788f8fae0520fb38ac3b1; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00043,31,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,686ccaacdc3c78ac823c679b402a9fd54acc94993a5b26daad28c6eac73b42cc,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=43; payloadBytes=25; rawTagPayloadSha256=686ccaacdc3c78ac823c679b402a9fd54acc94993a5b26daad28c6eac73b42cc; exactTagIdentitySha256=73856fa0f91d1bd813cbe20b9ee51e138635f2a513c6f2d03520e554d65a4f5d; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00044,32,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,d46d7159c8db8b1d5ce10a3de485d219eb0a611d72252b0b6bf60f4761e8860a,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=44; payloadBytes=25; rawTagPayloadSha256=d46d7159c8db8b1d5ce10a3de485d219eb0a611d72252b0b6bf60f4761e8860a; exactTagIdentitySha256=57788359bcb31ea3740dfc0c6f2e5ea5bad1c533c51b6fd8a246fe521b6110e1; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00045,33,arial,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,1b6e23a7eae4cb52acbc08235e7af90e01c463b98c1b237afbb3efa7a88ac3e4,DefineFont2,,1,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=45; payloadBytes=34; rawTagPayloadSha256=1b6e23a7eae4cb52acbc08235e7af90e01c463b98c1b237afbb3efa7a88ac3e4; exactTagIdentitySha256=634344c75e00da11cf446ffcaf42048a8a3910fc9f2a858c83bf17402a824984; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00046,34,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,b83d5c79e8a3b1183a59a0521b2877185e5d59b7646443d387f49cb46cb0f479,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=46; payloadBytes=25; rawTagPayloadSha256=b83d5c79e8a3b1183a59a0521b2877185e5d59b7646443d387f49cb46cb0f479; exactTagIdentitySha256=05da587d61ab73e12a09d9cfeeacda529074771639946fdbb5b08b6fb0ae2a4a; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00047,35,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,93078840154cc711c17aa067e1ca475fc6fe589c9e444655cef67d7dce5cb9bb,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=47; payloadBytes=25; rawTagPayloadSha256=93078840154cc711c17aa067e1ca475fc6fe589c9e444655cef67d7dce5cb9bb; exactTagIdentitySha256=07988ab807401862c813b758484ada1261a7d613ad2582fdc3b66731179446b2; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00048,36,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,d65518d2d64822b67552d4da57ca4b527874d21dae64ab18b8d2b15ae5b7966d,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=48; payloadBytes=25; rawTagPayloadSha256=d65518d2d64822b67552d4da57ca4b527874d21dae64ab18b8d2b15ae5b7966d; exactTagIdentitySha256=453dd633c43dc6f644f51c5bbe61f987d0bacba5cf3b070e0943083fef6709fd; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00049,37,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,6f60ac571fb28efd19f454db0cf2d3f28a768807a3b1efde4f4e9bd52eff0bdc,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=49; payloadBytes=25; rawTagPayloadSha256=6f60ac571fb28efd19f454db0cf2d3f28a768807a3b1efde4f4e9bd52eff0bdc; exactTagIdentitySha256=3e9efa62d23c476430ea9acabe0a43b6090cd5a5d91192bd661c4c456eec6d3c; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00050,38,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,2e54e0be6da19ab22eb5b78781c4eb0835b39e548a9369eb371b92cce875ddab,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=50; payloadBytes=25; rawTagPayloadSha256=2e54e0be6da19ab22eb5b78781c4eb0835b39e548a9369eb371b92cce875ddab; exactTagIdentitySha256=6a5cc905e8d70c71c78092c659b4ef0dfefe55110fe3173b8e708be664025022; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00051,39,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,1380640d770cf07c6292bc1140b52550858a328009e0b76f94625088af0f891c,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=51; payloadBytes=25; rawTagPayloadSha256=1380640d770cf07c6292bc1140b52550858a328009e0b76f94625088af0f891c; exactTagIdentitySha256=9a1e413897d0aa470937598e1044a01438baa10b5c53f35fd0d742544725d940; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00052,40,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/VB/L5VB05.swf,,,afb659018819d4352af1c012a6322b01f004b6549fc6ab9b86decb2ef0810598,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=52; payloadBytes=25; rawTagPayloadSha256=afb659018819d4352af1c012a6322b01f004b6549fc6ab9b86decb2ef0810598; exactTagIdentitySha256=d8f8a096c7b631d5469cf833679cfb5c0fcf5d00e999ca5c4c06e4cf04db1510; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
