cue_id,language,source_file,sha256,start_frame,duration_ms,format,channels,sample_rate_hz,source_character_id,notes
catalog-audio-01,en,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_FORMULAS/ELEMENTARY/EAD/Conversion_1_4.mp3,4cb95f75f46e9bb14acc59043d6ee5367d7ad2e460a78ba53371bca39456e009,,,mp3,,,,"Catalog association only; start frame, duration, and stream metadata require timeline/audio audit."
catalog-audio-02,es,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_FORMULAS/ELEMENTARY/SAD/Conversion_1_4.mp3,756ee31becb867396837a7c16a66d72a6e011da232e338e2362996767f309462,,,mp3,,,,"Catalog association only; start frame, duration, and stream metadata require timeline/audio audit."
