cue_id,language,source_file,sha256,start_frame,start_frame_domain_id,start_semantics,duration_ms,format,channels,sample_rate_hz,source_character_id,notes
catalog-audio-001,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/SA/L3GS02.mp3,bb022576cb0f787245c17fdad4ef2d324115f7066fe2a9732ad27130ee86af68,,,catalog association only; runtime cue is unresolved,50880,mp3,1,48000,,"association=matching-basename; ffprobe/ffmpeg technical probe passed; normalized-language candidate=es; spoken language, cue, synchronization, listening quality, and acceptance are not established."
embedded-audio-001,und,artifacts/g4-l3-embedded-audio/sha256/ad/ad4a86a727b8d4b5379655258cdffc62f85f89cb460a96565fad27d975a2aa38.mp3,ad4a86a727b8d4b5379655258cdffc62f85f89cb460a96565fad27d975a2aa38,1,sprite-10,static SoundStreamHead frame in owner domain; runtime reachability unresolved,390,mp3,1,22050,,"unitReferenceId=course-g04-l03-gs-002/sound-stream-1/source-order-1; source SWF=source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf; sourceFormat=mp3; probeStatus=ffprobe-parsed-ffmpeg-decode-check-passed; payload is an exact machine archive; language, cue, synchronization, listening quality, and acceptance are not established."
embedded-audio-002,und,artifacts/g4-l3-embedded-audio/sha256/14/14394d906c7cb9b7a877cf3949a603fcca2c7e6cdcf64456ac1b52b0af74ed96.mp3,14394d906c7cb9b7a877cf3949a603fcca2c7e6cdcf64456ac1b52b0af74ed96,1,sprite-69,static SoundStreamHead frame in owner domain; runtime reachability unresolved,1976,mp3,1,22050,,"unitReferenceId=course-g04-l03-gs-002/sound-stream-2/source-order-2; source SWF=source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf; sourceFormat=mp3; probeStatus=ffprobe-parsed-ffmpeg-decode-check-passed; payload is an exact machine archive; language, cue, synchronization, listening quality, and acceptance are not established."
embedded-audio-003,und,artifacts/g4-l3-embedded-audio/sha256/ad/ad4a86a727b8d4b5379655258cdffc62f85f89cb460a96565fad27d975a2aa38.mp3,ad4a86a727b8d4b5379655258cdffc62f85f89cb460a96565fad27d975a2aa38,1,sprite-154,static SoundStreamHead frame in owner domain; runtime reachability unresolved,390,mp3,1,22050,,"unitReferenceId=course-g04-l03-gs-002/sound-stream-3/source-order-3; source SWF=source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf; sourceFormat=mp3; probeStatus=ffprobe-parsed-ffmpeg-decode-check-passed; payload is an exact machine archive; language, cue, synchronization, listening quality, and acceptance are not established."
embedded-audio-004,und,artifacts/g4-l3-embedded-audio/sha256/a3/a3634114101cc46babbe7470bea683f3484c5bf31ce2813d7ca8d197ba9cbe04.mp3,a3634114101cc46babbe7470bea683f3484c5bf31ce2813d7ca8d197ba9cbe04,1,sprite-158,static SoundStreamHead frame in owner domain; runtime reachability unresolved,1222,mp3,1,22050,,"unitReferenceId=course-g04-l03-gs-002/sound-stream-4/source-order-4; source SWF=source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf; sourceFormat=mp3; probeStatus=ffprobe-parsed-ffmpeg-decode-check-passed; payload is an exact machine archive; language, cue, synchronization, listening quality, and acceptance are not established."
embedded-audio-005,und,artifacts/g4-l3-embedded-audio/sha256/32/32a6cc6390fb81b813c91b140dfee09bad57fc0fa297c3b909570cb92494046e.mp3,32a6cc6390fb81b813c91b140dfee09bad57fc0fa297c3b909570cb92494046e,1,sprite-319,static SoundStreamHead frame in owner domain; runtime reachability unresolved,15236,mp3,1,22050,,"unitReferenceId=course-g04-l03-gs-002/sound-stream-5/source-order-5; source SWF=source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf; sourceFormat=mp3; probeStatus=ffprobe-parsed-ffmpeg-decode-check-passed; payload is an exact machine archive; language, cue, synchronization, listening quality, and acceptance are not established."
embedded-audio-006,und,artifacts/g4-l3-embedded-audio/sha256/ed/ed051453f3f40cab498ebae515d3694081d7af24896ae7c7c1d38c5610af383a.mp3,ed051453f3f40cab498ebae515d3694081d7af24896ae7c7c1d38c5610af383a,1,sprite-321,static SoundStreamHead frame in owner domain; runtime reachability unresolved,34970,mp3,1,22050,,"unitReferenceId=course-g04-l03-gs-002/sound-stream-6/source-order-6; source SWF=source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/GS/L3GS02.swf; sourceFormat=mp3; probeStatus=ffprobe-parsed-ffmpeg-decode-check-passed; payload is an exact machine archive; language, cue, synchronization, listening quality, and acceptance are not established."
