kind,path,bytes,sha256,status
source-swf,HELP_COURSES/ELMGR4/L9/TI/L9TI05.swf,84696,8887df0e47269d7c49bdbf62d69eaa8f8ab46c000f853905515cf5aea64b0ded,canonical-read-only-source
candidate-canvas,apps/web/candidate-assets/flash-assets/2026-08-22-page-only-candidates-v1/courses/course-g04-l09-ti-005/canvas-renderer.js,,,generated-engineering-candidate
