cue_id,language,source_file,sha256,start_frame,start_frame_domain_id,start_semantics,duration_ms,format,channels,sample_rate_hz,source_character_id,notes
embedded-stream-0001,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IR/L4RW01.swf,14b8f7639027b324e9411c5d1e753432ed81c1fb3c23e211291c4b53f36c52dd,,,interaction-state,11233,swf-mp3-stream,2,22050,30,"SoundStream in sprite:30, local head frame 1, first block frame 1, 135 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
embedded-stream-0002,und,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IR/L4RW01.swf,14b8f7639027b324e9411c5d1e753432ed81c1fb3c23e211291c4b53f36c52dd,,,interaction-state,11233,swf-mp3-stream,2,22050,31,"SoundStream in sprite:31, local head frame 1, first block frame 1, 135 blocks, sync=stream; sum-of-mp3-soundstreamblock-sample-counts; start_semantics=interaction-state; root cue depends on sprite placement/interaction and remains unresolved; no root frame is asserted; spoken language/content requires listening."
