asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00021,11,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,b9077f42f57c5b7a91aa265ec985430566845348d1c7b5e44c83fd10a74d764f,DefineBitsJPEG3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=21; payloadBytes=5977; exactTagIdentitySha256=50ee4667c1f982012ee9c852e5e0f11aa4912c6d3ff056d206a0083ed37c0f01; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00022,12,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,e4219a1f9c5e88047d28ce3bac6a91c88ae91a1a1f53fec7705c4c3c7a91740e,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=22; payloadBytes=1147; exactTagIdentitySha256=52eb124fc8730d14a3a983e7971919fb63ca0f8ae01b85294b427feab75f49a1; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00023,13,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,a6ce5e96ec196fbf0c92ad08f984e89e5a87f15f79b006b336afcef778b1921c,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=23; payloadBytes=34; exactTagIdentitySha256=3fd4b23bae8af62006d44c9c3bfef2e7e95cccdcb01f5a674c9bf80351ba60e8; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00024,14,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,2ab89e4fc43f01c6027788fb726ed554ec20a48a3e971f792c6b0caa6c39869f,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=24; payloadBytes=56; exactTagIdentitySha256=fceb25fcdda56a8e166e4f66baff19e32f1019ca0ac2cbe0724d06a98b56a92c; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00025,15,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,62f2b7b864b4248be95891464889bafc5d5d318620233b3d997f41d811cbc1b4,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=25; payloadBytes=71; exactTagIdentitySha256=50431061350368db5a61856e89a8f94e1f15d6227752da42c8538101fed0785d; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00026,16,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,7760e305e546d25b2d125701ba7a26e6d7ccfdda3eeaa52fb86af73f2aba1621,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=26; payloadBytes=51; exactTagIdentitySha256=c6326d70539f337a186ddff3c4768cb8b82cb940a53ba8b728c9d54b4a96a7be; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00027,17,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,d1c150328ed0a17684456cb5789d1480299aa086bf5ae2b72e81e80b39d624fe,DefineShape2,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=27; payloadBytes=143; exactTagIdentitySha256=62f0b3ece4cbeba128d16654c74d95ba7ee0a1ff21ad58be5a0bb9e3fbeed255; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00028,18,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,57272b1c26a8f881b527fb859771cde3ea9a9dbb64f2f298c3ff1b00476351b8,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=28; payloadBytes=1908; exactTagIdentitySha256=79806a65ad9ecd3d3f51b449ef16ef9ad02b0c4ee96577e66befa3a4183089a2; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00029,19,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,16241cee72a3a59eae8bae7e650695b293ce9e668943620808d9582982626170,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=29; payloadBytes=1560; exactTagIdentitySha256=5d03f2dd29030b1d51eebdb60b9233fe1989c798b40988bf7584bb418b3e9455; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00030,20,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,508409b03b1e336425ab365f8474958be844568ca2438a5ff9cc48d1ad228edb,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=30; payloadBytes=1005; exactTagIdentitySha256=10ba85bfe13a1952933b7f33fc3eada912f3f0fe5a086a96cf3ecfdeb3775de4; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
