object_id,tag_type,element_bytes,element_sha256,source_artifact,source_artifact_sha256,source_uncompressed_sha256,projection,runtime_reachability,renderer_adoption,acceptance_effect
16,DefineShape3,22566,a854ff20665dadb460c4e6fdfe87342b448d18ebe71e4dfb09b053aac5e707a8,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
17,DefineFont2,19787,ed3e2bc9484500a4a36bda375b74a3557bd5dd65ee0ae76b528075e3b8597d98,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
18,DefineText,849,5a082316ac99e5d8028165cba1e1400814bd63c9a05fc66ffd67557659401bb6,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
19,DefineText,848,5021580015ffd048f4119b5df9fd39b508dd16a5a9069492fc251a6df2967560,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
20,DefineText,848,52ab5e9c2fa4f94ac21d3d5c1d1935fb0802dd31bb70acb9337f4eb790b51bff,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
21,DefineText,848,e1d426e133eebe66935a02cb99fd47af6cd454d10c5c8f30188cba939c79f9e9,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
22,DefineText,848,655ef77b586cbb2a69649fb2c2152b2889da9c7c85163d8a4add52270ff2b849,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
23,DefineText,848,1b452b683c2ffffe09a8ec5c758286315886abe3e21ce7f5d0b2c74deaea86e2,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
24,DefineText,849,0c3b485fb29fd3c0d17c8ce06593180d73e9af32f90cc1b8a417f14dbff9dcd6,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
25,DefineText,848,4caf7ffb9bf6ab19dbb4508747800aefcc9499401738b140c1959e6c0728f603,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
26,DefineText,848,d24ddef0453a757f0f3229a9bc5b99dbe9d23cca842b0eb3b6d89d5b81fc98b2,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
27,DefineShape3,19603,0df0526ce6727cb749002a0d4b41c947db466a373768301a7ffe147fff97c5df,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
28,DefineText,847,018feb0f6df2d70563bc0af8e91066578f00351b41ad51bb602184f53923d238,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
29,DefineText,846,9b058ab13e228565dfded3b97710a13bb95b1189a740a4b2d363ada0a88c6750,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
30,DefineText,846,0180bcb8fde6cde476a64e77917ca92ddc1d1e9696910587d68937b7b0830239,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
31,DefineText,846,6e46b432c2978722c5eb56c0dc0a0a6196260607011dfa9f1f96e444f1f0f4a3,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
32,DefineText,846,53e2249e280d8ece1cc7ea8899d8d831bd3b86dee7a33b06432534e14aca4b12,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
33,DefineText,846,e01bef0a498cd523a479f84a5c91416d5faf870a9d3395dca66c17d372c8f851,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
34,DefineText,847,b8a31f9711420c7fd21b096cb7ff2ee5f737780dfd7df96d9356073614052d5e,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
35,DefineText,846,9de734888f04c95fef56dd4a72f45440770a2e2f47a2b34703b5c201ee57a156,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
36,DefineText,846,4d4a0e9a4f3173b54e905428f991d1801f33ea9b6c97ebb1a3ac6401fd583527,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
37,DefineText,902,835f2e8236b4e31de591d808db8503d0b2e8f690aa7f92ee25aff33c915f0f5f,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
38,DefineText,902,ce6ea8961697fab16de6db955f16106763d20d05088233dfa9530c144516e42b,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
39,DefineText,902,a2d76eaa6106b785b7b9f4bf829dd9bf97b5e2be70466e8cd3c52be12665aac6,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
