kind,path,bytes,sha256,status
source-swf,HELP_COURSES/ELMGR4/L9/TS/L9TS08.swf,603327,65dd20c58cadaec5ff791632a9847ff12185df5daa1b0e5644d3215690481b09,canonical-read-only-source
candidate-canvas,apps/web/candidate-assets/flash-assets/2026-08-22-page-only-candidates-v1/courses/course-g04-l09-ts-008/canvas-renderer.js,,,generated-engineering-candidate
