kind,path,bytes,sha256,status
source-swf,HELP_COURSES/ELMGR4/L9/IN/L9IN10.swf,157571,2048b6bed2a18fa5318d165b3632bd3720bcb993555fe0135aed89c3ce01dfe2,canonical-read-only-source
candidate-canvas,apps/web/candidate-assets/flash-assets/2026-08-22-page-only-candidates-v1/courses/course-g04-l09-in-010/canvas-renderer.js,,,generated-engineering-candidate
