kind,path,bytes,sha256,status
source-swf,HELP_COURSES/ELMGR4/L9/RW/L9RW02.swf,1025709,d9c859fd2425a4e4c0783d3ca22352249cb1b5412ef2bbcdafc98e48197be88c,canonical-read-only-source
candidate-canvas,apps/web/candidate-assets/flash-assets/2026-08-22-page-only-candidates-v1/courses/course-g04-l09-rw-002/canvas-renderer.js,,,generated-engineering-candidate
