kind,path,bytes,sha256,status
source-swf,HELP_COURSES/ELMGR4/L9/IR/L9RW01.swf,147215,81d67d59f53e17defa70a4ac523fd8788a06170058a963060f9a331a7865bce9,canonical-read-only-source
candidate-canvas,apps/web/candidate-assets/flash-assets/2026-08-22-page-only-candidates-v1/courses/course-g04-l09-ir-001/canvas-renderer.js,,,generated-engineering-candidate
