kind,path,bytes,sha256,status
source-swf,HELP_COURSES/ELMGR4/L9/FQ/L9FQ01.swf,16197,d577153ac1ae95e436f67545004363190a37fad1601623cb090e811673688c94,canonical-read-only-source
candidate-canvas,apps/web/candidate-assets/flash-assets/2026-08-22-page-only-candidates-v1/courses/course-g04-l09-fq-001/canvas-renderer.js,,,generated-engineering-candidate
